;index;ANIO_ENTRADA1;MES_ENTRADA1;DIA_ENTRADA1;HORA_ENTRADA1;DECENA_MIN_ENTRADA1;PARADA_ENTRADA1;HW_SERIAL_NUMBER_ENTRADA1;LINEA_ENTRADA1;TRAYECTO_ENTRADA1;PRODUCT_CODE_ENTRADA1;PARADA_SALIDA1;isFestivo;isEscolar;day_of_week;quarter
0;3170;2019;3;1;10;4;4769;1261435695154304;362;12.0;84;4490;0;0;4;1
1;3171;2019;3;5;10;4;4769;1261435695154304;362;12.0;84;4490;0;1;1;1
2;3172;2019;3;8;11;2;4358;1261435695154304;362;11.0;84;4768;1;0;4;1
3;12890;2019;3;6;8;4;4770;1263512447441536;362;12.0;200;4490;0;1;2;1
4;14055;2019;3;16;12;4;4769;1263605460000128;362;12.0;200;4769;1;1;5;1
5;14098;2019;3;12;9;3;4763;1263666259187328;362;11.0;85;4768;0;1;1;1
6;14099;2019;3;14;9;3;4763;1263666259187328;362;11.0;85;4768;0;1;3;1
7;14100;2019;3;18;9;3;4358;1263666259187328;362;11.0;85;4768;0;1;0;1
8;14101;2019;3;20;9;3;4763;1263666259187328;362;11.0;85;4768;0;1;2;1
9;15463;2019;3;16;10;4;4772;1263874694008448;362;12.0;85;4490;1;1;5;1
10;15464;2019;3;17;9;5;4772;1263874694008448;362;12.0;85;4490;0;1;6;1
11;15465;2019;3;17;10;3;4358;1263874694008448;362;11.0;85;4358;0;1;6;1
12;15466;2019;3;17;10;3;4358;1263874694008448;362;11.0;85;4358;0;1;6;1
13;15467;2019;3;18;10;3;4358;1263874694008448;362;11.0;85;4766;0;1;0;1
14;15468;2019;3;20;9;3;4358;1263874694008448;362;11.0;85;4766;0;1;2;1
15;15469;2019;3;20;11;4;4772;1263874694008448;362;12.0;85;4490;0;1;2;1
16;15470;2019;3;22;9;4;4772;1263874694008448;362;12.0;85;4490;0;1;4;1
17;15471;2019;3;23;11;4;4772;1263874694008448;362;12.0;85;4490;0;1;5;1
18;15472;2019;3;26;9;5;4772;1263874694008448;362;12.0;85;4490;0;1;1;1
19;15473;2019;3;28;10;4;4772;1263874694008448;362;12.0;85;4490;0;1;3;1
20;15474;2019;3;29;9;4;4772;1263874694008448;362;12.0;85;4490;0;1;4;1
21;15475;2019;3;30;7;4;4769;1263874694008448;362;12.0;85;4490;0;1;5;1
22;15588;2019;3;4;10;4;4772;1263874694008448;362;12.0;85;4490;0;1;0;1
23;15589;2019;3;5;7;5;4772;1263874694008448;362;12.0;85;4490;0;1;1;1
24;15590;2019;3;7;9;4;4772;1263874694008448;362;12.0;85;4490;0;0;3;1
25;15591;2019;3;8;8;4;4772;1263874694008448;362;12.0;85;4490;1;0;4;1
26;15592;2019;3;8;10;2;4358;1263874694008448;362;11.0;85;4766;1;0;4;1
27;15593;2019;3;10;8;4;4772;1263874694008448;362;12.0;85;4490;0;1;6;1
28;15594;2019;3;11;9;5;4772;1263874694008448;362;12.0;85;4490;0;1;0;1
29;15595;2019;3;14;10;4;4772;1263874694008448;362;12.0;85;4490;0;1;3;1
30;30907;2019;3;25;6;3;4772;1267031494971008;362;12.0;200;4490;0;1;0;1
31;30908;2019;3;25;14;4;4772;1267031494971008;362;12.0;200;4490;0;1;0;1
32;30909;2019;3;26;17;4;4770;1267031494971008;362;12.0;200;4770;0;1;1;1
33;48812;2019;3;9;16;4;4770;1271248882126464;362;12.0;200;4490;0;0;5;1
34;48813;2019;3;14;8;3;4358;1271248882126464;362;11.0;200;4768;0;1;3;1
35;55549;2019;3;14;7;5;4770;1272679376965248;362;12.0;200;4490;0;1;3;1
36;58256;2019;3;3;10;4;4769;1273628564737664;362;12.0;200;4769;0;1;6;1
37;58257;2019;3;7;18;2;4358;1273628564737664;362;11.0;200;4768;0;0;3;1
